,text
52,"It’s officially #Choptober. Go 
@Braves
 and Keep Choppin! #ForTheA #gapol"
53,"“I’m impressed. I did not expect the recovery to be that strong."" #gapol"
54,Another reason to #BackTheBlue and pray for those who risk their lives to keep us safe from harm. #gapol
55,"Congratulations to Judge Amy Coney Barrett on her #SCOTUS nomination. Devoted to faith, family, and the U.S. Constitution, I am confident that Judge Barrett will serve our nation with honor & integrity. Well done, 
@realDonaldTrump
! #gapol #FillTheSeat #ACB"
56,"Marty and the girls stopped by 
@JaemorFarms
 for pumpkins, apples, and a few other #georgiagrown products. Now, more than ever, we need to support our local farms and agri-businesses! #gapol"
57, #gapol
58,It’s Game Day. Let’s #GoDawgs! #ATD
59,"Today, we held a press conference to urge Georgians to do the right thing and fill out the 2020 census. The deadline is September 30th so please RT to help share this important - and timely - reminder! #gapol"
60,"Way to go, 
@Braves
! #ForTheA #MVFree"
61,"“The Governor and the First Lady here have been second to none in the nation in taking this fight on and working closely with the federal government and I really appreciate that."" - Attorney General Bill Barr #gapol"
62,"With great schools, economic opportunity, and quality of life, Evans, GA (Columbia County) was ranked #1 by 
@Money
 as the ""Best Place to Live 2020-2021."" Big congratulations to local leaders for this impressive honor! #gapol"
63,".
@BANGenergy
 to Invest $145M in Lithia Springs Facility -> http://athensceo.com/news/2020/09/bang-energy-invest-145m-lithia-springs-facility-news/… #gapol"
64,".
@GAFirstLady
 and I look forward to having 
@IvankaTrump
 and Attorney General Barr in Atlanta tomorrow as we continue our joint efforts to end human trafficking and ensure a better future for survivors. #gapol"
65,Wishing a blessed Rosh Hashanah to all of my Jewish friends and neighbors celebrating the New Year! #gapol
66,"With Georgia's unemployment rate dropping to 5.7%, we continue to make measurable progress in the fight to protect people and their paychecks. #gapol"
67,"From protecting the right to life to cracking down on gangs, drug cartels, human trafficking, & terrorism, there's no doubt that 
@realDonaldTrump
 is the most pro-life President in modern history. RT if you agree! #gapol"
68,Our new E.O. maintains the proven safety measures that are stopping the spread of COVID-19 & provides a balanced approach to re-opening qualified long-term care facilities. These data-driven decisions protect the lives & the livelihoods of all Georgians.
69,"What an honor to participate in the 
@EvangForTrump
 event today in Cumming. It was such a privilege to introduce my friend, 
@EricTrump
, to the Georgians who are working around the clock to deliver victory for 
@realDonaldTrump
 & 
@Mike_Pence
 on November 3rd. #gapol"
